date,gender,height,weight,rating,review_text
25.09.02.,,,,5,배송도 빠루고 가볍고 너무 잘 타고 다니고 있어요
25.09.02.,,,,5,3학년아이 약간큰듯하지만 지금부터 오래 잘탈서같아요
25.09.01.,남성,175cm,67kg,5,만족합니다. 잘탈게요
25.09.01.,,,,5,"잘타고있습니다
고맙습니다"
25.08.31.,,,,5,가성비 짱입니다 추천합니다
25.08.30.,,,,5,기존에 이용하던 자전거입니다
25.08.29.,,,,5,좋아요 만족합니다 잘탈게요
25.08.28.,,,,5,일반 로드자전거 차에 싣기가 불편해서 아이 써보라고 접이식으로 한번뽑아봤는데 싼만큼 약간의 소음도 좀있고한대 가성비로는 괜찮은거같네요
25.08.28.,,,,5,생각처럼 너무 이쁘네요
25.08.27.,남성,170cm,68kg,4,출퇴근용 및 기차적재 용이성만 딱 2가지만 보고 고민하고 선택한 물건 입니다. 확실히 무게 자체가 적당하여 계단에 들고 올라가는데 큰무리가 없네요. 폴딩시에도 견고함에 느껴져서 기차 적재에도 용이할듯 합니다.
25.08.26.,,,,4,"일단 가볍고 이쁘네요~
포장이 꼼꼼이 왔어요
가격대비 좋은것 같아요~"
25.08.26.,,,,5,조아요 가격대비 괞찮아요
25.08.26.,,,,5,잘나가고 애들이 좋아해요
25.08.26.,,,,5,이쁘고 잘나갑니다 좀무겁긴해요
25.08.26.,남성,,,5,"아주맘에들어요  색상부터 다
와이프도 좋아해요"
25.08.25.,,,,5,"디자인 예쁘고 튼튼하고 주행감 좋습니다
여자들을 위한 자전 거 같아요"
25.08.24.,,,,5,"접이식이라 차에 싣기도 편하고 좋네요
반조립으로 주문해서  브레이크와 손잡이각도조절,핸들정렬 정도 조금 손본거 빼곤 할게없네요 오늘 주행해보니 기어변속도 잘되고 너무 좋네요"
25.08.24.,,,,5,"접이식이라 차에 싣기도 편하고 좋네요
반조립으로 주문해서  브레이크와 손잡이각도조절,핸들정렬 정도 조금 손본거 빼곤 할게없네요 오늘 주행해보니 기어변속도 잘되고 너무 좋네요"
